Tip deponije,Godina,naziv,PIB,Matični broj,Opština,Mesto,Šifra mesta,Poštanski broj,Ulica i broj,Telefon,Telefaks,Email,Šifra pretežne delatnosti,Opština2,Naselje,latitude,longitude,prosecna ukupna kolicina otpada,Procenjena površina smetlišta (m2),Koliko je puta čišćen prostor divlje deponije u toku izveštajne godine?,Da li se na istom mestu ponavlja divlje odlaganje otpada?
Divlje deponije,2020,Opština Temerin - Opštinska uprava,101869888,08330514,Temerin,"Temerin, Temerin, 804681",804681,21235,Novosadska 326,843888,,goran.grkovic@gmail.com,8411,Temerin,"Temerin, Temerin, 804681",45,19,700,1500,1,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Dragojevac, Vladimirci, 709867",44.675137,19.8605,10,40,0,Ne
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Jalovik, Vladimirci, 709891",44.58417,19.84982,10,40,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Jazovnik, Vladimirci, 709883",44.56237,19.8399,50,70,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Jazovnik, Vladimirci, 709883",44.57348,19.88981,100,150,0,Ne
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Kozarica, Vladimirci, 709913",44.51006,19.71739,30,70,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Krnić, Vladimirci, 709921",44.59747,19.885,50,120,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Krnule, Vladimirci, 709930",44.58572,19.7726,40,100,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Kujavica, Vladimirci, 709948",44.67122,19.79741,40,70,0,Da
Divlje deponije,2020,JAVNO KOMUNALNO PREDUZEĆE IZVOR VLADIMIRCI,101403449,07347189,Vladimirci,"Vladimirci, Vladimirci, 709808",709808,15225,SVETOG SAVE 25,015/513-460,,office@vladimirci.org.rs,3600,Vladimirci,"Lojanice, Vladimirci, 709956",44.61022,19.74191,5,20,1,Da
