Tip deponije,Godina,Naziv preduzeća,PIB,Matični broj,Opština,Mesto,Šifra mesta,Poštanski broj,Ulica i broj,Telefon,Telefaks,Email,Šifra pretežne delatnosti,"Lokacija (mesto, naselje)",naziv,latitude,longitude,Zauzete katastarske parcele,Godina početka deponovanja,Godina završetka deponovanja,"Prosečne godišnje količine otpada, koji se odlaže na nesanitarnu deponiju - smetlište (t)",Gradovi / opštine ili naselja čiji otpad se odlaže na nesanitarnu deponiju - smetlište,Ograda oko nesanitarne deponije - smetlišta,Kapija /rampa na ulazu,Čuvarska služba,Kolska vaga,Drenažni sistem za prikupljanje procednih otpadnih voda,Sistem za prečišćavanje procednih voda sa semtlišta,Sistem za otplinavanje deponijskog gasa,Kojem regionu za upravljanje otpadom pripada vaša opština?,Sa kojim lokalnim samoupravama imate potpisan sporazum o zajedničkom regionalnom upravljanju otpadom?,Nesanitarna deponija - smetlište je:,Operativni status nesanitarne deponije - smetlišta,Da li se na nesanitarnoj deponiji - smetlištu i dalje odlaže otpad?,Način odlaganja otpada,Da li se vrši prekrivanje inertnim materijalom?,Period za koji se predviđa trajanje i eksploatacija nesanitarne deponije - smetlišta,"Da li se vrši i vodi evidencija o količinama i vrstama otpada, koji se odlaže?",Da li se nesanitarna deponija - smetlište ili njen deo nalazi u poplavnom području?,"Da li je za nesanitarno smetlište izrađen Projekat sanacije, zatvaranja i rekultivacije?",Koje godine?,"Da li je pribavljena saglasnost na Projekat sanacije, zatvaranja i rekultivacije?",Koje godine?2,"Da li se izvode radovi po Projektu sanacije, zatvaranja i rekultivacije?","Koji se radovi izvode po Projektu sanacije, zatvaranja i rekultivacije?","Da li se sprovode mere zaštite životne sredine propisane Projektom sanacije, zatvaranja i rekultivacije?","Da li se sprovodi monitoring propisan Projektom sanacije, zatvaranja i rekultivacije?","Da li je potrebna izrada novog ili ažuriranje postojećeg Projekta sanacije, zatvaranja i rekultivacije nesanitarnog smetlišta?",ukupno godina,prosecna ukupna kolicina otpada
Nesanitarne deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0669725973,0212932246,jkpcistocazabalj@gmail.com,3811,Čurug,Deponija Čurug,45.29047,20.02215,"15094,11626,11627,11628,11629,11630,11631,11688,11689",1988,,1627,Čurug,Da,Da,Da,Ne,Ne,Ne,Ne,Južnobački okrug,"Novi Sad, Beočin, Sremski Karlovci, Bač, Bačka Palanka, Vrbas, Srbobran, Bečej, Temerin, Titel i Bački Petrovac.","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Da,Do 3 godine eksploatacije,Da,Ne,Da,2021,Ne,,ne,,Ne,Ne,Ne,38,61826
Nesanitarne deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0669725973,0212932246,jkpcistocazabalj@gmail.com,3811,Žabalj,DEPONIJA ŽABALJ,45.22377,20.0215,"7460,7461,7462,7463,7464,7465,7466,7467,7468,7469,7470",1989,,2932,"Gospođinci, Žabalj",Da,Da,Da,Ne,Ne,Ne,Ne,Južnobački okrug,"Novi Sad, Beočin, Sremski Karlovci, Bač, Bačka Palanka, Vrbas, Srbobran, Bečej, Temerin, Titel i Bački Petrovac.","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Da,Više od 5 godina eksploatacije,Da,Ne,Ne,,,,,,,,,37,108484
Nesanitarne deponije,2020,"Javno komunalno preduzeće ""Čistoća""",107051272,20732580,Žabalj,"Žabalj, Žabalj, 801321",801321,21230,Svetog Nikole 7,0669725973,0212932246,jkpcistocazabalj@gmail.com,3811,Đurđevo,DEPONIJA ĐURĐEVO,45.18149,20.04076,"6759,6760,6761,9447,9579",1990,,1102,Đurđevo,Da,Da,Da,Ne,Ne,Ne,Ne,Južnobački okrug,"Novi Sad, Beočin, Sremski Karlovci, Bač, Bačka Palanka, Vrbas, Srbobran, Bečej, Temerin, Titel i Bački Petrovac","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Da,Više od 5 godina eksploatacije,Da,Ne,Ne,,,,,,,,,36,39672
Nesanitarne deponije,2020,opština golubac,101483358,07162901,Golubac,"Golubac, Golubac, 712922",712922,12223,Cara lazara 15,063426564,,predsednik@golubac.org.rs,8411,Vinci,Deponija Vinci,44.6998136,21.5859578,1752/2,1995,,4000,"Vinci, Radoševac, Golubac, Usije",Da,Ne,Ne,Ne,Da,Ne,Ne,Lapovo,nema,"Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Sloj po sloj,Delimično,Do 3 godine eksploatacije,Da,Ne,Da,2009,Da,2009,delimicno,Sanacija,Delimično,Ne,Da,31,124000
Nesanitarne deponije,2020,JP KOMUNALAC,100757593,07366612,Trgovište,"Trgovište, Trgovište, 742546",742546,17525,Kralja Petra I Karađorđevića 4,064/8173548,017452214,komunalac.trgoviste@gmail.com,3811,Donja Trnica,Crna Dolina Donja Trnica,42.3821709,22.0594989,"4723, deo 2012/2, 2036, 2037",1992,,1559,Trgovište,Da,Da,Ne,Ne,Ne,Ne,Ne,Pčinjski okrug,,"Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Da,Od 3 do 5 godina ekspoatacije,Da,Ne,Ne,,,,,,,,,34,53006
Nesanitarne deponije,2020,OPŠTINA KOCELJEVA,101399396,07353561,Koceljeva,"Koceljeva, Koceljeva, 718513",718513,15220,NEMANJINA 74 74,0648276105,,oukoceljeva@gmail.com,8411,Koceljeva,Stara ciglana (Ringlov),44.477232,19.822436,"712/1, 713, 714/1,714/2, 714/3",1980,,10500,Koceljeva,Da,Da,Ne,Da,Da,Ne,Ne,Kolubarskom,"Valjevo, Obrenovac, Lazarevac, Ub, Barajevo, Vladimirci, Lajkovac, Mionica, Osečina, Ljig, Loznica, Mali Zvornik, Ljubovija i Krupanj.","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Sloj po sloj,Delimično,Od 3 do 5 godina ekspoatacije,Da,Da,Da,2030,Ne,,delimicno,Sanacija,Delimično,Delimično,Ne,46,483000
Nesanitarne deponije,2020,OPŠTINA LAJKOVAC,101343119,07353154,Lajkovac,"Lajkovac (varoš), Lajkovac, 723029",723029,14224,OMLADINSKI TRG 1,0143433329,,opstinalajkovac@gmail.com,8411,Jabučje,Odlagaliste otpada Lajkovac,44.38174,20.20693,8770,2004,2019,9620,"Lajkovac (varoš), Ćelije, Bajevac, Pridvorica, Jabučje, Bogovađa, Lajkovac (selo), Slovac, Vračević, Markova Crkva, Skobalj, Donji Lajkovac, Pepeljevac, Rubribreza, Stepanje, Strmovo, Mali Borak, Nepričava, Ratkovac",Ne,Ne,Da,Ne,Ne,Ne,Ne,Kolubarsko - macvanski region - Zapadna Srbija,"Valjevo, Ub, Ljig, Lazarevac, Koceljeva, Sabac, Osecina, Obrenovac, Barajevo","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Razvrstavanje otpada uz sabijanje i ravnanje,Da,Do 3 godine eksploatacije,Da,Da,Da,2011,Da,2012,delimicno,Rekultivacija,Delimično,Delimično,Da,16,153920
Nesanitarne deponije,2020,GRADSKA UPRAVA GRADA ŠAPCA,100084619,07170122,Šabac,"Šabac, Šabac, 746606",746606,15000,GOSPODAR JEVREMOVA  6,015345700,,odeljenjezaopstuupravu@sabac.org,8411,Šabac,DUDARA,44.45318,19.422962,"2295,2296,2297,2298,2299,2301,2302,2303,2304,2305/1,2305/2, 2309,2310 ? 2311 KO ŠABAC",1994,2014,0,Šabac,Da,Da,Ne,Ne,Ne,Ne,Ne,Šabac,"Sremska Mitrovica, Bogatić",Nesanitarna deponija - smetlište koje se trajno zatvara,Neaktivno,Ne,Razvrstavanje otpada uz sabijanje i ravnanje,Da,Smetlište treba što pre sanirati i zatvoriti,Ne,Da,Da,2019,Da,2019,ne,,Delimično,Delimično,Ne,21,0
Nesanitarne deponije,2020,OPŠTINA BAČ,101759575,08012814,Bač,"Bač, Bač, 800236",800236,21420,TRG DR. ZORANA ĐINĐIĆA  2,021770075,,inf@bac.rs,8411,Bač,Javna deponija Bac,45.375949,19.2052207,"6438,6439/1,6439/2,6451,6452,6453",1990,,4790,Bač,Ne,Da,Da,Da,Ne,Ne,Ne,južno bački okrug,,"Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Nekontrolisano odlaganje,Ne,Smetlište treba što pre sanirati i zatvoriti,Ne,Ne,Ne,,,,,,,,,36,172440
Nesanitarne deponije,2020,OPŠTINSKA UPRAVA MALO CRNIĆE,101336839,07345534,Malo Crniće,"Malo Crniće, Malo Crniće, 727199",727199,12311,Bajlonijeva 119,012/280-016,,uprava@opstinamalocrnice.rs,8411,Salakovac,Salakovac,44.5931,21.2322,"1757,1767,1768,1769,1770,1771",2006,,2.215,"Boževac, Salakovac, Šapine, Kravlji Do, Malo Gradište, Veliko Crniće, Aljudovo, Kobilje, Toponica, Batuša, Malo Crniće, Kalište, Kula, Smoljinac, Vrbnica, Veliko Selo, Zabrega, Crljenac",Da,Ne,Ne,Ne,Ne,Ne,Ne,regionu kome pripadaju sve opštine Braničevskog okruga,"Požarevac, Veliko Gradište, Golubac, Žabari, Petrovac na Mlavi, Kučevo i Žagubica","Nesanitarna deponija - smetlište, koja se i dalje koristi i fazno zatvara",Aktivno,Da,Nekontrolisano odlaganje,Delimično,Više od 5 godina eksploatacije,Ne,Ne,Da,2012,Ne,,delimicno,Sanacija,Ne,Ne,Da,20,44.3
